payment_id,order_id,payment_date,payment_method,payment_amount
500059,100067,2024-09-29,Card,109.87
500060,100068,2024-02-26,Card,125.09
500061,100070,2025-08-05,ACH,89.88
500062,100072,2024-12-18,Card,116.04
500063,100073,2024-04-10,ACH,57.06
500064,100073,2024-04-09,ACH,43.09
500065,100074,2025-05-20,Card,80.9
500066,100075,2024-12-15,Card,46.62
500067,100076,2024-08-31,ACH,78.9
500068,100077,2024-06-18,Card,108.77
500069,100078,2025-02-20,Card,106.82
500070,100079,2025-05-09,Card,267.23
500071,100080,2025-11-20,ACH,93.34
500072,100082,2024-04-30,Card,150.39
500073,100084,2025-04-08,ACH,64.83
500074,100085,2025-05-29,Card,56.61
500075,100085,2025-05-29,Card,69.03
500076,100086,2024-03-14,Card,93.28
500077,100087,2024-08-17,Card,67.29
500078,100088,2025-07-18,ACH,35.17
500079,100088,2025-07-17,Insurance,36.41
500080,100090,2024-11-19,Card,84.86
500081,100091,2025-08-14,Card,71.17
500082,100092,2025-09-10,ACH,157.02
500083,100093,2024-10-12,Card,69.28
500084,100094,2025-10-23,Insurance,26.91
500085,100095,2024-08-02,Insurance,39.96
500086,100096,2024-06-27,Card,140.92
500087,100097,2025-05-18,Card,71.32
500088,100098,2025-04-14,Card,97.87
500089,100099,2024-04-15,Insurance,77.19
500090,100101,2024-05-28,Card,72.69
500091,100102,2025-08-25,ACH,66.44
500092,100105,2025-07-29,Card,128.98
500093,100106,2025-07-25,Insurance,305.53
500094,100109,2025-06-05,Card,92.34
500095,100110,2024-07-24,Card,87.1
500096,100111,2025-07-28,ACH,49.87
500097,100112,2025-02-11,Card,130.77
500098,100113,2024-12-03,Card,41.57
500099,100114,2025-01-05,Insurance,64.47
500100,100114,2025-01-08,Card,71.67
500101,100115,2025-02-24,Insurance,195.89
500102,100116,2024-02-15,ACH,48.56
500103,100117,2024-04-17,ACH,77.96
500104,100118,2024-06-28,Insurance,51.4
500105,100118,2024-06-28,Card,59.37
500106,100119,2024-03-30,Card,220.53
500107,100120,2024-11-19,Card,41.89
500108,100121,2025-05-05,Card,73.75
500109,100122,2025-04-28,Card,84.7
500110,100123,2024-12-13,Card,93.24
500111,100124,2025-09-18,Card,175.36
500112,100125,2025-02-17,Card,83.65
500113,100126,2024-02-29,Card,89.36
500114,100127,2025-07-29,Card,61.51
500115,100128,2025-02-26,ACH,124.32
500116,100130,2025-02-23,Insurance,132.28
500117,100132,2024-03-12,ACH,78.72
500118,100133,2025-02-13,Card,106.29
500119,100135,2024-08-13,Card,159.89
500120,100136,2025-03-17,Card,123.75
500121,100137,2024-01-25,ACH,133.35
500122,100138,2024-09-13,Card,52.73
500123,100139,2024-11-20,Card,190.26
500124,100141,2024-06-09,ACH,127.22
500125,100143,2024-11-05,Insurance,134.39
500126,100144,2025-12-29,ACH,40.66
500127,100144,2025-12-30,Card,38.27
500128,100146,2024-01-28,Insurance,52.77
500129,100146,2024-01-27,Insurance,71.98
500130,100147,2024-06-20,Card,62.78
500131,100148,2025-08-26,ACH,40.54
500132,100148,2025-08-23,ACH,57.4
500133,100149,2024-02-17,Insurance,109.03
500134,100150,2025-09-18,Card,338.72
500135,100151,2024-08-13,Card,50.87
500136,100152,2025-11-07,Insurance,184.2
500137,100153,2024-08-05,Card,110.3
500138,100154,2024-11-19,Card,103.67
500139,100155,2025-05-04,Card,46.57
500140,100156,2024-04-03,Card,74.68
500141,100156,2024-04-08,Card,96.75
500142,100157,2025-02-13,Card,49.91
500143,100158,2025-01-07,ACH,236.16
500144,100159,2025-07-27,Insurance,73.4
500145,100160,2025-12-29,ACH,132.43
500146,100160,2026-01-01,Card,103.72
500147,100161,2025-05-01,Card,27.71
500148,100161,2025-05-01,Card,33.98
500149,100163,2024-10-26,ACH,30.7
500150,100163,2024-10-29,Card,29.11
500151,100164,2024-11-01,Card,29.38
500152,100164,2024-11-03,Card,37.01
500153,100165,2025-08-20,Card,100.36
500154,100166,2024-08-25,Insurance,223.58
500155,100167,2024-05-08,Card,72.95
500156,100168,2024-09-01,Card,104.95
500157,100169,2024-01-22,ACH,194.67
500158,100170,2024-03-23,Card,127.22
500159,100171,2024-03-22,Card,198.27
500160,100172,2025-07-19,Card,149.14
500161,100173,2025-06-17,ACH,158.51
500162,100174,2025-05-24,ACH,93.01
500163,100175,2024-12-04,ACH,117.47
500164,100176,2025-06-13,ACH,154.91
500165,100177,2024-05-13,ACH,74.42
500166,100178,2025-10-20,ACH,118.55
500167,100179,2025-01-06,ACH,80.41
500168,100180,2025-11-28,Card,147.45
500169,100181,2024-04-22,Card,27.2
500170,100182,2024-12-29,ACH,82.91
500171,100183,2025-05-25,Card,159.0
500172,100184,2025-01-07,Card,58.09
500173,100185,2024-11-25,Card,39.26
500174,100186,2024-05-02,Card,42.64
500175,100189,2024-08-11,Insurance,142.65
500176,100191,2025-04-08,ACH,51.89
500177,100193,2024-09-24,Card,209.06
500178,100194,2025-12-02,ACH,150.28
500179,100195,2024-03-09,Card,68.0
500180,100196,2024-09-10,ACH,142.21
500181,100197,2024-03-30,Card,46.12
500182,100199,2025-12-04,ACH,21.33
500183,100199,2025-12-04,ACH,22.62
500184,100202,2024-12-30,ACH,38.66
500185,100203,2025-05-31,ACH,91.68
500186,100204,2024-12-01,Card,57.6
500187,100205,2024-07-18,ACH,46.58
500188,100206,2025-07-14,Card,51.94
500189,100207,2025-12-12,Insurance,178.53
500190,100208,2024-07-11,ACH,79.75
500191,100209,2025-07-26,Insurance,55.26
500192,100210,2024-07-15,Card,48.14
500193,100211,2025-06-09,Card,102.59
500194,100212,2025-08-04,ACH,172.49
500195,100212,2025-08-03,Card,160.92
500196,100213,2024-11-29,Insurance,453.77
500197,100214,2025-07-06,ACH,56.11
500198,100217,2024-03-11,ACH,211.27
500199,100218,2024-11-26,Insurance,52.16
500200,100218,2024-12-10,Insurance,68.39
500201,100219,2025-10-21,ACH,167.05
500202,100221,2024-12-01,ACH,70.15
500203,100222,2025-06-01,Card,54.41
500204,100222,2025-06-03,Card,54.2
500205,100223,2024-05-29,Card,94.06
500206,100225,2024-08-15,ACH,31.85
500207,100226,2025-08-19,Card,65.45
500208,100227,2025-02-28,ACH,29.92
500209,100227,2025-03-04,ACH,21.83
500210,100229,2024-05-12,Card,236.03
500211,100230,2024-12-06,Card,166.66
500212,100231,2025-09-23,Card,57.24
500213,100232,2024-01-18,Insurance,53.57
500214,100233,2025-07-11,Card,179.42
500215,100234,2025-01-01,Card,73.55
500216,100235,2025-06-14,Card,17.72
500217,100236,2025-04-30,Card,147.83
500218,100237,2024-11-16,ACH,105.82
500219,100238,2024-08-13,ACH,38.53
500220,100239,2025-04-17,Card,131.21
500221,100240,2024-04-14,Card,50.4
500222,100240,2024-04-15,Card,41.16
500223,100241,2025-03-02,ACH,49.78
500224,100242,2024-03-10,Card,118.49
500225,100242,2024-03-14,ACH,124.74
500226,100243,2025-04-25,Card,59.88
500227,100243,2025-04-24,Card,80.62
500228,100244,2025-04-10,Card,68.87
500229,100245,2024-03-07,ACH,42.35
500230,100246,2025-07-15,ACH,102.47
500231,100247,2024-11-02,ACH,58.12
500232,100247,2024-10-31,ACH,46.04
500233,100248,2025-08-01,Card,128.12
500234,100249,2024-02-02,ACH,85.2
500235,100250,2024-05-13,ACH,78.09
500236,100252,2024-05-28,Card,90.61
500237,100255,2024-04-15,Card,75.37
500238,100257,2024-03-19,Card,58.38
500239,100258,2024-05-12,ACH,162.77
500240,100260,2025-08-07,Card,56.46
500241,100261,2024-05-10,Insurance,122.2
500242,100262,2024-08-15,ACH,86.88
500243,100263,2025-11-10,Card,145.64
500244,100264,2025-12-28,Card,29.77
500245,100264,2025-12-26,ACH,25.69
500246,100265,2025-03-01,Insurance,43.65
500247,100266,2024-11-27,ACH,36.81
500248,100266,2024-11-24,Card,43.64
500249,100267,2024-09-10,Card,49.1
500250,100268,2025-03-29,ACH,34.36
500251,100268,2025-03-25,Card,38.4
500252,100270,2024-08-07,ACH,82.3
500253,100271,2024-01-21,Card,60.17
500254,100272,2024-05-01,Insurance,65.02
500255,100273,2025-12-04,Card,42.76
500256,100274,2024-11-07,Card,42.97
500257,100275,2024-12-24,Insurance,133.07
500258,100276,2024-12-07,Card,89.56
500259,100277,2025-07-31,ACH,98.5
500260,100279,2024-03-04,Card,68.91
500261,100280,2024-07-20,Card,33.28
500262,100280,2024-07-23,Card,37.27
500263,100281,2024-12-24,ACH,78.53
500264,100282,2025-05-05,Card,130.11
500265,100284,2024-11-27,Card,44.52
500266,100285,2025-11-21,Card,218.45
500267,100286,2024-05-02,Card,62.32
500268,100287,2025-02-24,ACH,129.95
500269,100288,2025-02-05,ACH,34.61
500270,100289,2024-12-15,Card,23.5
500271,100289,2024-12-15,ACH,25.69
500272,100290,2025-08-14,Card,83.14
500273,100290,2025-08-17,Card,64.23
500274,100292,2025-12-01,Card,70.5
500275,100293,2024-09-05,Card,58.24
500276,100295,2025-01-18,Card,152.52
500277,100296,2025-09-13,Card,82.78
500278,100297,2024-11-17,ACH,105.92
500279,100298,2024-07-28,Card,46.33
500280,100298,2024-07-31,ACH,34.09
500281,100299,2024-01-21,Card,60.76
500282,100300,2024-09-25,Card,84.83
500283,100301,2025-09-02,Insurance,137.27
500284,100302,2024-01-13,Card,76.9
500285,100303,2025-10-17,Card,88.01
500286,100304,2025-02-01,Insurance,49.28
500287,100305,2024-04-12,Insurance,136.81
500288,100306,2024-08-09,Insurance,31.98
500289,100306,2024-08-10,Card,29.81
500290,100307,2025-02-15,Insurance,183.52
500291,100308,2024-08-21,Card,82.55
500292,100309,2024-03-22,ACH,45.89
500293,100310,2025-05-04,Card,255.05
500294,100311,2025-05-10,Card,16.13
500295,100311,2025-05-09,ACH,19.71
500296,100312,2024-03-30,Card,91.93
500297,100313,2024-07-24,Card,141.83
500298,100314,2024-06-30,Insurance,28.24
500299,100316,2025-06-22,Card,28.3
500300,100317,2025-06-20,Card,62.22
500301,100318,2025-11-20,Card,304.31
500302,100320,2024-08-25,Card,105.88
500303,100321,2024-03-21,Card,74.62
500304,100322,2025-03-30,ACH,66.45
500305,100323,2025-11-03,Card,43.59
500306,100324,2025-12-16,ACH,58.09
500307,100324,2025-12-18,Card,47.74
500308,100325,2024-06-21,Card,94.41
500309,100326,2024-06-21,Insurance,36.98
500310,100327,2024-01-31,Card,53.41
500311,100328,2024-04-17,Card,26.35
500312,100328,2024-04-13,Card,38.65
500313,100329,2025-02-14,Insurance,27.85
500314,100331,2024-10-02,ACH,53.79
500315,100331,2024-09-29,Card,43.37
500316,100332,2024-08-18,ACH,105.66
500317,100333,2025-09-04,Card,167.79
500318,100334,2024-12-04,ACH,38.16
500319,100335,2025-08-17,ACH,37.9
500320,100335,2025-08-18,Card,36.04
500321,100337,2024-08-25,ACH,143.61
500322,100338,2024-06-03,Card,159.6
500323,100339,2025-11-27,Card,53.22
500324,100340,2025-04-15,Card,176.16
500325,100341,2024-08-05,Card,69.83
500326,100342,2025-04-05,Card,168.52
500327,100343,2025-01-12,ACH,127.18
500328,100344,2025-10-24,Card,104.35
500329,100345,2024-07-06,Card,79.45
500330,100346,2025-12-29,Insurance,73.21
500331,100347,2025-11-21,Card,108.79
500332,100348,2024-05-18,Card,121.87
500333,100349,2024-05-06,ACH,59.23
500334,100349,2024-05-01,Card,74.33
500335,100350,2025-01-24,ACH,121.97
500336,100351,2024-02-04,ACH,111.16
500337,100352,2024-08-06,Insurance,189.89
500338,100353,2024-11-18,Card,81.45
500339,100355,2026-01-01,Insurance,64.69
500340,100356,2024-04-24,Card,290.21
500341,100357,2025-10-19,Card,137.27
500342,100358,2024-03-08,Card,101.39
500343,100359,2025-07-05,Card,137.45
500344,100360,2025-09-15,ACH,30.31
500345,100360,2025-09-11,Insurance,29.08
500346,100361,2025-10-19,Card,325.11
500347,100362,2024-06-17,Insurance,157.05
500348,100363,2025-10-17,Card,20.83
500349,100363,2025-10-18,Card,31.21
500350,100364,2024-03-30,Card,53.32
500351,100366,2024-12-09,Card,71.48
500352,100368,2024-01-31,Card,43.81
500353,100369,2025-07-22,ACH,28.28
500354,100371,2025-05-04,Insurance,85.37
500355,100372,2024-10-26,Card,73.46
500356,100373,2024-10-16,Card,96.96
500357,100375,2024-03-10,Card,162.07
500358,100376,2025-06-27,ACH,102.19
500359,100377,2025-07-01,Card,124.86
500360,100378,2024-10-06,Card,23.35
500361,100378,2024-10-05,Card,30.08
500362,100379,2024-07-13,Insurance,114.96
500363,100380,2024-01-09,Insurance,100.57
500364,100381,2025-11-20,ACH,143.25
500365,100382,2025-11-24,Card,43.37
500366,100383,2024-06-27,ACH,210.78
500367,100384,2024-02-03,Card,31.63
500368,100384,2024-01-28,Card,28.35
500369,100385,2024-04-04,Card,41.42
500370,100387,2025-09-03,Card,103.67
500371,100391,2024-05-14,Insurance,161.47
500372,100392,2024-09-28,Card,82.45
500373,100394,2025-06-14,Card,78.69
500374,100395,2025-10-07,ACH,294.05
500375,100396,2024-02-04,Card,67.45
500376,100396,2024-02-05,ACH,46.75
500377,100397,2024-05-27,Card,136.19
500378,100398,2024-07-29,Card,30.85
500379,100398,2024-07-24,Card,46.17
500380,100399,2024-08-15,Card,62.22
500381,100400,2025-12-31,ACH,119.19
500382,100401,2025-07-27,Card,97.05
500383,100402,2024-08-26,ACH,85.36
500384,100402,2024-08-23,ACH,98.68
500385,100404,2024-12-31,Card,104.99
500386,100405,2025-01-15,Card,57.74
500387,100406,2024-11-18,Card,85.87
500388,100407,2024-04-18,ACH,53.38
500389,100408,2025-11-20,ACH,28.62
500390,100408,2025-11-30,Card,24.37
500391,100409,2024-01-16,Card,164.47
500392,100410,2024-05-11,Card,60.99
500393,100411,2024-06-17,Insurance,71.15
500394,100412,2024-07-27,ACH,86.17
500395,100413,2024-04-11,Insurance,78.0
500396,100415,2025-05-15,Card,44.67
500397,100417,2024-03-30,ACH,96.69
500398,100418,2024-08-09,Insurance,218.13
500399,100419,2025-01-06,Card,99.8
500400,100420,2025-11-10,Insurance,74.46
500401,100421,2025-05-24,Card,105.67
500402,100422,2025-07-20,Insurance,88.68
500403,100423,2025-03-04,Insurance,94.91
500404,100424,2024-11-04,Card,90.28
500405,100427,2025-08-16,Card,66.28
500406,100428,2024-01-22,Card,67.15
500407,100429,2025-06-24,Card,81.62
500408,100430,2024-03-05,Card,53.4
500409,100431,2025-06-27,Card,46.35
500410,100432,2025-09-01,Insurance,57.49
500411,100433,2024-04-10,Card,58.09
500412,100434,2024-11-13,Card,142.0
500413,100435,2024-03-31,Card,40.57
500414,100436,2025-02-19,Insurance,47.41
500415,100437,2025-11-09,Insurance,130.23
500416,100438,2024-03-05,ACH,284.45
500417,100439,2024-10-21,ACH,58.18
500418,100439,2024-10-17,Card,48.11
500419,100440,2025-12-16,Card,56.36
500420,100441,2024-08-19,ACH,49.02
500421,100442,2024-04-10,Insurance,91.15
500422,100443,2024-12-29,Card,91.03
500423,100443,2024-12-27,Card,70.08
500424,100445,2025-04-30,ACH,50.46
500425,100447,2025-11-30,Card,80.45
500426,100447,2025-12-05,Card,94.79
500427,100448,2025-01-19,Card,169.05
500428,100449,2024-07-28,Card,52.29
500429,100449,2024-07-31,Card,66.53
500430,100450,2025-12-18,Card,139.76
500431,100451,2025-11-10,Card,49.34
500432,100452,2025-01-02,Card,57.12
500433,100453,2024-01-22,Card,223.53
500434,100454,2025-03-15,ACH,92.76
500435,100455,2025-02-15,Card,36.29
500436,100456,2024-04-20,Insurance,68.1
500437,100456,2024-04-22,Insurance,80.8
500438,100457,2025-04-09,Card,159.3
500439,100458,2025-09-08,Card,89.98
500440,100459,2024-03-23,ACH,144.75
500441,100461,2024-04-29,Card,32.09
500442,100461,2024-04-15,Card,35.72
500443,100462,2025-07-03,Card,44.51
500444,100463,2024-11-04,Card,35.71
500445,100464,2024-01-08,Insurance,192.12
500446,100466,2024-05-06,ACH,50.33
500447,100467,2025-03-13,Card,65.49
500448,100468,2024-05-17,Insurance,126.09
500449,100469,2025-11-16,ACH,21.02
500450,100471,2025-08-14,Card,69.79
500451,100472,2024-11-13,Card,74.81
500452,100473,2024-12-12,Card,109.43
500453,100474,2025-04-13,ACH,48.04
500454,100475,2025-07-28,ACH,72.2
500455,100477,2024-01-15,Card,138.64
500456,100478,2025-05-02,ACH,54.01
500457,100479,2024-03-21,Insurance,224.54
500458,100480,2024-07-30,Card,61.36
500459,100481,2025-09-03,Card,82.78
500460,100483,2025-08-06,Card,36.8
500461,100483,2025-08-08,Card,48.25
500462,100485,2024-06-23,ACH,75.09
500463,100486,2024-09-07,Card,70.18
500464,100487,2025-01-27,ACH,111.98
500465,100488,2025-07-15,ACH,53.28
500466,100489,2025-03-19,ACH,83.74
500467,100490,2025-11-13,ACH,70.8
500468,100491,2025-10-03,Insurance,19.71
500469,100491,2025-10-01,Card,19.19
500470,100492,2025-07-10,Card,18.91
500471,100492,2025-07-06,Insurance,15.19
500472,100493,2025-03-17,Insurance,35.21
500473,100494,2024-08-01,Insurance,77.13
500474,100495,2024-11-03,Insurance,89.44
500475,100496,2024-03-30,Card,74.19
500476,100498,2025-11-11,Card,76.93
500477,100499,2024-11-12,Card,43.09
500478,100500,2024-04-04,Card,58.27
500479,100501,2025-04-26,ACH,105.1
500480,100503,2025-10-02,ACH,135.79
500481,100505,2024-11-29,Card,89.57
500482,100507,2024-07-04,Card,111.87
500483,100508,2024-07-20,ACH,41.95
500484,100509,2024-06-23,ACH,42.32
500485,100509,2024-06-28,Card,58.33
500486,100510,2026-01-11,Card,31.61
500487,100510,2025-12-30,Card,31.68
500488,100511,2025-07-05,Card,125.1
500489,100512,2025-09-10,ACH,138.51
500490,100513,2025-08-20,Card,42.47
500491,100514,2025-12-07,ACH,54.2
500492,100516,2025-10-10,Card,71.94
500493,100518,2024-12-13,Card,110.45
500494,100519,2025-03-16,Card,175.24
500495,100521,2024-04-17,Card,63.82
500496,100524,2024-08-23,Card,42.24
500497,100525,2024-08-14,Card,59.82
500498,100526,2025-11-08,Card,77.26
500499,100527,2024-04-18,ACH,159.32
500500,100528,2025-11-06,Card,160.21
500501,100529,2025-11-06,Card,35.28
500502,100530,2025-03-16,ACH,32.12
500503,100530,2025-03-16,ACH,30.42
500504,100531,2024-05-05,ACH,166.09
500505,100532,2024-04-24,Card,47.57
500506,100533,2024-07-27,Card,109.84
500507,100534,2025-03-01,Card,76.23
500508,100535,2024-04-26,Card,85.19
500509,100536,2024-12-02,Card,74.64
500510,100537,2024-03-26,Card,160.46
500511,100538,2025-02-04,ACH,38.59
500512,100540,2025-06-05,Card,153.16
500513,100541,2024-02-24,Card,96.85
500514,100543,2024-05-07,Card,96.36
500515,100544,2025-09-03,ACH,75.16
500516,100546,2024-11-15,Card,88.17
500517,100546,2024-11-12,Card,78.01
500518,100547,2025-03-13,Card,11.85
500519,100547,2025-03-09,Insurance,17.09
500520,100548,2025-01-15,Card,66.31
500521,100549,2025-05-13,Card,26.62
500522,100549,2025-05-22,Card,28.56
500523,100551,2024-10-19,ACH,139.9
500524,100552,2025-09-03,Insurance,30.62
500525,100554,2025-12-23,Card,29.47
500526,100555,2025-01-07,Insurance,59.02
500527,100556,2025-06-25,Card,92.13
500528,100557,2025-10-07,Card,237.42
500529,100558,2025-08-02,Card,42.67
500530,100559,2025-09-15,Card,271.29
500531,100560,2025-01-29,Card,106.43
500532,100561,2024-02-02,Card,108.39
500533,100563,2024-05-18,Card,40.32
500534,100564,2025-10-17,ACH,66.59
500535,100565,2024-06-27,ACH,34.99
500536,100567,2024-07-06,Card,37.01
500537,100568,2025-04-19,Card,80.13
500538,100569,2025-02-26,ACH,58.33
500539,100570,2025-11-25,Card,213.7
500540,100572,2024-07-25,ACH,46.91
500541,100573,2024-02-10,Insurance,60.01
500542,100573,2024-02-08,Insurance,53.28
500543,100574,2024-01-10,Card,37.27
500544,100574,2024-01-08,Card,49.04
500545,100575,2024-10-01,ACH,210.93
500546,100577,2025-01-18,ACH,119.89
500547,100578,2025-10-21,ACH,162.25
500548,100579,2024-03-18,Insurance,51.19
500549,100579,2024-03-20,ACH,60.94
500550,100580,2024-03-12,ACH,155.41
500551,100582,2024-03-20,Card,69.05
500552,100584,2024-10-24,Insurance,81.56
500553,100585,2025-11-11,ACH,29.83
500554,100586,2025-05-24,Insurance,61.64
500555,100587,2024-03-16,ACH,42.98
500556,100587,2024-03-13,ACH,30.17
500557,100588,2025-09-05,ACH,155.7
500558,100589,2025-09-13,Card,75.44
500559,100590,2025-08-11,ACH,214.24
500560,100591,2025-10-24,Card,54.1
500561,100591,2025-10-24,ACH,58.73
500562,100592,2024-06-26,Card,46.32
500563,100593,2025-12-22,Card,185.73
500564,100594,2024-08-26,Card,137.14
500565,100595,2025-08-09,Card,35.2
500566,100597,2025-07-25,Card,167.67
500567,100599,2025-04-16,ACH,33.95
500568,100600,2025-03-27,ACH,143.5
500569,100602,2025-06-29,Insurance,91.31
500570,100602,2025-06-26,Card,96.13
500571,100603,2024-04-09,Insurance,143.79
500572,100605,2025-01-29,ACH,161.07
500573,100607,2025-01-13,Card,31.92
500574,100607,2025-01-11,Card,45.04
500575,100608,2025-12-10,ACH,105.34
500576,100608,2025-12-08,Card,111.75
500577,100609,2025-09-20,Card,68.86
500578,100610,2025-09-02,Card,141.8
500579,100611,2024-12-04,Insurance,55.98
500580,100611,2024-12-22,ACH,39.57
500581,100612,2025-08-02,Card,61.26
500582,100613,2024-10-08,Card,50.09
500583,100615,2025-04-16,Card,172.51
500584,100616,2024-07-06,Card,74.86
500585,100617,2024-07-13,Card,93.2
500586,100618,2024-02-16,Card,46.22
500587,100620,2024-11-18,Card,89.84
500588,100623,2024-10-31,ACH,63.71
500589,100624,2025-03-17,Insurance,41.59
500590,100624,2025-03-22,Card,32.31
500591,100625,2024-06-24,Card,132.4
500592,100627,2024-10-01,Card,224.85
500593,100628,2025-01-04,Card,83.83
500594,100629,2024-09-30,Card,56.3
500595,100629,2024-09-29,Card,62.12
500596,100630,2025-06-23,Card,145.16
500597,100631,2024-08-30,Card,80.41
500598,100632,2024-11-19,Card,37.77
500599,100632,2024-11-30,ACH,49.88
500600,100633,2024-10-08,ACH,172.27
500601,100634,2024-05-14,Insurance,18.8
500602,100634,2024-05-17,Card,24.46
500603,100635,2025-05-18,Card,33.23
500604,100636,2024-06-24,Insurance,42.15
500605,100636,2024-06-21,Card,56.1
500606,100638,2025-08-03,Card,214.71
500607,100639,2025-11-28,Card,65.25
500608,100640,2025-05-10,Card,98.64
500609,100641,2025-11-02,Insurance,104.36
500610,100643,2024-12-20,Insurance,121.39
500611,100644,2025-07-20,ACH,76.46
500612,100646,2024-12-07,Insurance,31.56
500613,100646,2024-12-04,Card,23.97
500614,100647,2025-01-30,Card,37.11
500615,100648,2025-12-05,Insurance,30.31
500616,100649,2025-09-12,Card,72.24
500617,100650,2024-12-29,Card,118.49
500618,100652,2024-05-31,Insurance,73.88
500619,100652,2024-05-28,Insurance,63.19
500620,100653,2025-08-15,Card,93.76
500621,100654,2025-02-14,Card,27.65
500622,100654,2025-02-22,ACH,27.77
500623,100655,2025-01-28,ACH,77.66
500624,100656,2025-07-19,Card,51.47
500625,100657,2025-04-09,Card,126.63
500626,100658,2024-02-28,Card,36.3
500627,100659,2024-08-02,Card,130.5
500628,100660,2024-05-11,ACH,62.92
500629,100661,2025-06-23,Insurance,112.32
500630,100662,2024-01-26,Card,57.29
500631,100662,2024-02-08,Card,56.65
500632,100663,2024-05-30,Insurance,88.44
500633,100664,2025-03-13,Card,159.41
500634,100664,2025-03-15,Insurance,137.66
500635,100665,2025-05-23,Card,47.77
500636,100668,2025-11-08,ACH,108.69
500637,100669,2024-04-12,Insurance,97.5
500638,100670,2025-12-02,Card,253.04
500639,100671,2025-03-28,Card,55.19
500640,100672,2025-04-16,Insurance,37.63
500641,100672,2025-04-14,Card,49.17
500642,100673,2024-03-16,ACH,48.04
500643,100674,2025-04-01,Card,85.77
500644,100675,2025-06-14,Insurance,52.0
500645,100676,2025-02-28,Card,111.36
500646,100677,2024-03-08,Card,91.5
500647,100678,2025-01-22,ACH,43.52
500648,100678,2025-01-22,Card,37.93
500649,100679,2025-11-20,Card,26.66
500650,100680,2025-06-29,Insurance,156.54
500651,100681,2024-04-16,Card,73.93
500652,100683,2025-12-04,Card,84.4
500653,100684,2024-05-08,Card,36.1
500654,100684,2024-05-06,Card,24.35
500655,100686,2024-10-28,Card,44.86
500656,100687,2025-03-13,Insurance,197.35
500657,100688,2024-11-25,Card,67.06
500658,100689,2025-07-27,Card,70.78
500659,100691,2025-08-04,Card,104.13
500660,100692,2025-11-15,Card,35.89
500661,100692,2025-11-14,Card,31.38
500662,100693,2025-11-22,Card,47.46
500663,100694,2024-03-24,Card,71.94
500664,100694,2024-03-10,ACH,80.29
500665,100696,2025-06-16,Card,46.41
500666,100698,2024-02-09,Card,98.76
500667,100699,2024-03-16,ACH,83.11
500668,100700,2025-01-23,Insurance,119.51
500669,100701,2025-03-29,Card,40.99
500670,100701,2025-03-26,Insurance,31.9
500671,100702,2024-05-05,Card,39.06
500672,100703,2024-05-06,ACH,72.16
500673,100704,2024-04-18,Card,108.17
500674,100706,2024-01-11,Card,78.2
500675,100707,2025-02-23,Insurance,203.94
500676,100708,2024-12-19,Card,77.52
500677,100708,2024-12-15,ACH,62.55
