order_id,order_date,ingestion_date,channel,region,product_line,status,gross_amount
100065,2024-08-26,2024-08-26,Mobile,South,Supplies,Completed,84.34
100066,2025-10-23,2025-10-23,Web,Northeast,HomeCare,Returned,256.12
100067,2024-09-27,2024-09-27,Mobile,West,Hospice,Completed,109.87
100068,2024-02-25,2024-02-25,Mobile,South,HomeCare,Completed,125.09
100069,2024-12-09,2024-12-09,Web,Midwest,SeniorCare,Cancelled,103.71
100070,2025-08-04,2025-08-04,Web,South,HomeCare,Completed,89.88
100071,2024-05-18,2024-05-18,Web,West,Supplies,Cancelled,113.66
100072,2024-12-04,2024-12-04,Mobile,Northeast,HomeCare,Completed,116.04
100073,2024-04-04,2024-04-04,Mobile,Northeast,Supplies,Completed,100.15
100074,2025-05-16,2025-05-16,Mobile,West,HomeCare,Completed,80.9
100075,2024-12-13,2024-12-13,Web,Midwest,Supplies,Completed,46.62
100076,2024-08-29,2024-08-29,Mobile,West,HomeCare,Completed,78.9
100077,2024-06-15,2024-06-24,Mobile,South,HomeCare,Completed,108.77
100078,2025-02-16,2025-02-16,Web,Northeast,Supplies,Completed,106.82
100079,2025-05-04,2025-05-04,Web,South,HomeCare,Completed,267.23
100080,2025-11-18,2025-11-18,Web,South,SeniorCare,Completed,93.34
100081,2024-11-15,2024-11-15,Web,South,SeniorCare,Completed,217.12
100082,2024-04-27,2024-04-27,Web,South,Hospice,Completed,150.39
100083,2025-08-31,2025-08-31,Web,Midwest,HomeCare,Completed,67.06
100084,2025-04-05,2025-04-05,Web,South,Supplies,Completed,64.83
100085,2025-05-26,2025-05-26,Web,Northeast,SeniorCare,Completed,125.64
100086,2024-03-12,2024-03-12,Web,West,Supplies,Completed,93.28
100087,2024-08-16,2024-08-16,Mobile,Midwest,SeniorCare,Completed,67.29
100088,2025-07-15,2025-07-20,Mobile,Midwest,SeniorCare,Completed,71.58
100089,2025-08-31,2025-08-31,Web,None,SeniorCare,Returned,72.33
100090,2024-11-14,2024-11-14,Mobile,Northeast,HomeCare,Completed,84.86
100091,2025-08-11,2025-08-11,Mobile,Northeast,Supplies,Completed,71.17
100092,2025-09-07,2025-09-07,Web,West,Supplies,Completed,157.02
100093,2024-10-10,2024-10-10,Web,Midwest,SeniorCare,Completed,69.28
100094,2025-10-18,2025-10-18,Web,South,Supplies,Completed,26.91
100095,2024-07-29,2024-07-29,Mobile,West,HomeCare,Completed,39.96
100096,2024-06-24,2024-07-02,Web,Northeast,HomeCare,Completed,140.92
100097,2025-05-13,2025-05-13,Web,None,HomeCare,Completed,71.32
100098,2025-04-10,2025-04-10,Mobile,West,SeniorCare,Completed,97.87
100099,2024-04-12,2024-04-12,Partner,South,Hospice,Completed,77.19
100100,2025-08-31,2025-08-31,Web,Midwest,HomeCare,Cancelled,86.98
100101,2024-05-26,2024-05-26,Mobile,Midwest,SeniorCare,Completed,72.69
100102,2025-08-11,2025-08-11,Web,West,HomeCare,Completed,66.44
100103,2024-01-06,2024-01-06,Mobile,West,Hospice,Cancelled,204.03
100104,2025-08-05,2025-08-05,Mobile,Midwest,HomeCare,Cancelled,180.31
100105,2025-07-29,2025-07-29,Mobile,South,HomeCare,Completed,128.98
100106,2025-07-24,2025-07-24,Web,Northeast,Hospice,Completed,305.53
100107,2025-05-01,2025-05-01,Web,Midwest,HomeCare,Cancelled,48.52
100108,2024-12-10,2024-12-10,Mobile,West,Hospice,Returned,98.95
100109,2025-05-30,2025-05-30,Web,South,Hospice,Completed,92.34
100110,2024-07-21,2024-07-21,Partner,West,Supplies,Completed,87.1
100111,2025-07-24,2025-07-24,Web,Northeast,HomeCare,Completed,49.87
100112,2025-02-10,2025-02-19,Web,South,HomeCare,Completed,130.77
100113,2024-12-01,2024-12-01,Web,Northeast,SeniorCare,Completed,41.57
100114,2025-01-04,2025-01-04,Web,Northeast,HomeCare,Completed,136.14
100115,2025-02-19,2025-02-19,Mobile,South,Hospice,Completed,195.89
100116,2024-01-28,2024-01-28,Web,South,SeniorCare,Completed,48.56
100117,2024-04-12,2024-04-22,Mobile,West,HomeCare,Completed,77.96
100118,2024-06-28,2024-06-28,Mobile,Northeast,Supplies,Completed,110.77
100119,2024-03-24,2024-03-24,Partner,Northeast,Hospice,Completed,220.53
100120,2024-11-17,2024-11-17,Mobile,South,SeniorCare,Completed,41.89
100121,2025-05-03,2025-05-03,Partner,Northeast,Supplies,Completed,73.75
100122,2025-04-23,2025-04-23,Partner,Northeast,Supplies,Completed,84.7
100123,2024-12-10,2024-12-10,Web,South,HomeCare,Completed,93.24
100124,2025-09-17,2025-09-22,Partner,South,SeniorCare,Completed,175.36
100125,2025-02-17,2025-02-17,Partner,South,Hospice,Completed,83.65
100126,2024-02-27,2024-03-03,Web,Northeast,Hospice,Completed,89.36
100127,2025-07-13,2025-07-13,Mobile,Midwest,SeniorCare,Completed,61.51
100128,2025-02-24,2025-02-24,Web,West,Hospice,Completed,124.32
100129,2025-04-08,2025-04-08,Mobile,South,Hospice,Cancelled,96.14
100130,2025-02-17,2025-02-17,Web,West,SeniorCare,Completed,132.28
100131,2025-02-08,2025-02-08,Mobile,Midwest,HomeCare,Completed,78.73
100132,2024-03-07,2024-03-07,Web,Northeast,SeniorCare,Completed,78.72
100133,2025-02-12,2025-02-12,Mobile,Northeast,HomeCare,Completed,106.29
100134,2025-08-04,2025-08-04,Web,Northeast,SeniorCare,Cancelled,57.98
100135,2024-08-10,2024-08-10,Mobile,West,HomeCare,Completed,159.89
100136,2025-03-16,2025-03-24,Web,Midwest,SeniorCare,Completed,123.75
100137,2024-01-23,2024-01-23,Mobile,Midwest,HomeCare,Completed,133.35
100138,2024-09-11,2024-09-11,Web,Midwest,SeniorCare,Completed,52.73
100139,2024-11-15,2024-11-15,Web,South,SeniorCare,Completed,190.26
100140,2025-12-19,2025-12-21,Web,West,Hospice,Completed,44.75
100141,2024-06-05,2024-06-05,Partner,Midwest,SeniorCare,Completed,127.22
100142,2024-07-21,2024-07-21,Web,Northeast,Supplies,Returned,67.31
100143,2024-10-25,2024-10-25,Mobile,South,HomeCare,Completed,134.39
100144,2025-12-26,2026-01-05,Web,West,SeniorCare,Completed,78.93
100145,2025-09-15,2025-09-15,Mobile,South,Hospice,Returned,117.91
100146,2024-01-26,2024-01-28,Web,West,SeniorCare,Completed,124.75
100147,2024-06-20,2024-06-25,Web,Northeast,Supplies,Completed,62.78
100148,2025-08-23,2025-08-30,Web,West,SeniorCare,Completed,97.94
100149,2024-02-12,2024-02-12,Web,Northeast,HomeCare,Completed,109.03
100150,2025-09-17,2025-09-17,Web,South,Hospice,Completed,338.72
100151,2024-07-24,2024-07-24,Web,West,Hospice,Completed,50.87
100152,2025-11-01,2025-11-01,Mobile,South,HomeCare,Completed,184.2
100153,2024-08-02,2024-08-02,Partner,South,SeniorCare,Completed,110.3
100154,2024-11-13,2024-11-13,Web,South,SeniorCare,Completed,103.67
100155,2025-04-28,2025-04-28,Partner,West,SeniorCare,Completed,46.57
100156,2024-04-02,2024-04-02,Web,Northeast,HomeCare,Completed,171.43
100157,2025-02-11,2025-02-11,Web,Midwest,SeniorCare,Completed,49.91
100158,2025-01-04,2025-01-04,Web,West,Hospice,Completed,236.16
100159,2025-07-27,2025-07-27,Web,South,HomeCare,Completed,73.4
100160,2025-12-29,2025-12-29,Web,Midwest,Hospice,Completed,236.15
100161,2025-04-30,2025-04-30,Partner,Midwest,SeniorCare,Completed,61.69
100162,2024-10-26,2024-10-26,Mobile,Midwest,Hospice,Completed,70.9
100163,2024-10-24,2024-10-31,Mobile,Northeast,Supplies,Completed,59.81
100164,2024-11-01,2024-11-09,Web,South,HomeCare,Completed,66.39
100165,2025-08-18,2025-08-18,Web,Midwest,Hospice,Completed,100.36
100166,2024-08-22,2024-08-29,Mobile,South,HomeCare,Completed,223.58
100167,2024-05-02,2024-05-02,Web,West,HomeCare,Completed,72.95
100168,2024-09-01,2024-09-11,Web,Northeast,HomeCare,Completed,104.95
100169,2024-01-17,2024-01-17,Web,South,SeniorCare,Completed,194.67
100170,2024-03-18,2024-03-24,Web,Northeast,Hospice,Completed,127.22
100171,2024-03-06,2024-03-06,Mobile,Midwest,Hospice,Completed,198.27
100172,2025-07-18,2025-07-18,Web,West,Hospice,Completed,149.14
100173,2025-06-12,2025-06-12,Web,Midwest,HomeCare,Completed,158.51
100174,2025-05-24,2025-05-31,Partner,Midwest,HomeCare,Completed,93.01
100175,2024-12-03,2024-12-03,Partner,South,SeniorCare,Completed,117.47
100176,2025-06-08,2025-06-08,Web,Midwest,Supplies,Completed,154.91
100177,2024-04-27,2024-04-27,Web,Midwest,SeniorCare,Completed,74.42
100178,2025-10-20,2025-10-20,Mobile,Northeast,HomeCare,Completed,118.55
100179,2025-01-01,2025-01-01,Web,South,Hospice,Completed,80.41
100180,2025-11-16,2025-11-16,Web,Midwest,SeniorCare,Completed,147.45
100181,2024-04-21,2024-04-23,Web,Northeast,Supplies,Completed,27.2
100182,2024-12-29,2024-12-29,Web,Northeast,HomeCare,Completed,82.91
100183,2025-05-24,2025-05-24,Partner,West,HomeCare,Completed,159.0
100184,2024-12-28,2024-12-28,Mobile,Midwest,Supplies,Completed,58.09
100185,2024-11-22,2024-11-22,Partner,West,HomeCare,Completed,39.26
100186,2024-05-01,2024-05-01,Mobile,Northeast,Supplies,Completed,42.64
100187,2024-10-05,2024-10-05,Mobile,Northeast,SeniorCare,Cancelled,62.32
100188,2024-06-23,2024-06-23,Mobile,South,Hospice,Completed,247.75
100189,2024-08-08,2024-08-08,Mobile,South,HomeCare,Completed,142.65
100190,2025-05-14,2025-05-23,Web,Midwest,Supplies,Returned,97.9
100191,2025-04-05,2025-04-05,Web,Northeast,HomeCare,Completed,51.89
100192,2025-03-19,2025-03-26,Mobile,Northeast,Hospice,Cancelled,112.95
100193,2024-09-21,2024-09-21,Web,Midwest,HomeCare,Completed,209.06
100194,2025-12-02,2025-12-09,Web,South,HomeCare,Completed,150.28
100195,2024-03-05,2024-03-15,Web,West,SeniorCare,Completed,68.0
100196,2024-09-07,2024-09-07,Mobile,South,HomeCare,Completed,142.21
100197,2024-03-27,2024-03-27,Web,Northeast,SeniorCare,Completed,46.12
100198,2024-09-04,2024-09-06,Web,West,SeniorCare,Completed,57.1
100199,2025-12-04,2025-12-11,Web,Midwest,Hospice,Completed,43.95
100200,2024-09-24,2024-09-24,Web,Northeast,SeniorCare,Cancelled,82.86
100201,2025-10-26,2025-11-04,Partner,None,HomeCare,Cancelled,131.76
100202,2024-12-27,2024-12-27,Web,South,Supplies,Completed,38.66
100203,2025-05-26,2025-05-26,Web,South,HomeCare,Completed,91.68
100204,2024-11-30,2024-12-07,Web,West,SeniorCare,Completed,57.6
100205,2024-07-13,2024-07-19,Mobile,Midwest,Supplies,Completed,46.58
100206,2025-07-12,2025-07-12,Mobile,Midwest,SeniorCare,Completed,51.94
100207,2025-12-09,2025-12-09,Web,South,HomeCare,Completed,178.53
100208,2024-07-11,2024-07-20,Web,Northeast,Hospice,Completed,79.75
100209,2025-07-23,2025-07-23,Mobile,South,Supplies,Completed,55.26
100210,2024-07-09,2024-07-14,Partner,South,Supplies,Completed,48.14
100211,2025-06-08,2025-06-08,Web,South,SeniorCare,Completed,102.59
100212,2025-07-30,2025-07-30,Web,South,HomeCare,Completed,333.41
100213,2024-11-24,2024-11-24,Web,Northeast,Hospice,Completed,453.77
100214,2025-06-22,2025-06-22,Web,None,Supplies,Completed,56.11
100215,2024-07-18,2024-07-18,Mobile,South,HomeCare,Cancelled,118.3
100216,2024-02-27,2024-02-27,Partner,Northeast,Supplies,Completed,101.31
100217,2024-03-11,2024-03-11,Partner,Northeast,Hospice,Completed,211.27
100218,2024-11-22,2024-11-22,Mobile,Northeast,SeniorCare,Completed,120.55
100219,2025-10-21,2025-10-21,Web,Northeast,HomeCare,Completed,167.05
100220,2024-04-03,2024-04-03,Partner,Midwest,HomeCare,Cancelled,118.11
100221,2024-11-29,2024-11-29,Web,Northeast,HomeCare,Completed,70.15
100222,2025-05-29,2025-05-29,Web,Northeast,Supplies,Completed,108.61
100223,2024-05-27,2024-05-27,Mobile,Northeast,SeniorCare,Completed,94.06
100224,2025-06-11,2025-06-11,Web,South,SeniorCare,Returned,103.75
100225,2024-08-11,2024-08-11,Mobile,Midwest,Supplies,Completed,31.85
100226,2025-08-14,2025-08-14,Partner,Midwest,HomeCare,Completed,65.45
100227,2025-02-27,2025-02-27,Mobile,Midwest,Supplies,Completed,51.75
100228,2025-02-03,2025-02-10,Mobile,Midwest,HomeCare,Completed,125.18
100229,2024-05-09,2024-05-09,Web,Midwest,HomeCare,Completed,236.03
100230,2024-12-04,2024-12-04,Web,Midwest,Hospice,Completed,166.66
100231,2025-09-19,2025-09-18,Mobile,South,Supplies,Completed,57.24
100232,2024-01-15,2024-01-15,Mobile,West,SeniorCare,Completed,53.57
100233,2025-07-08,2025-07-08,Partner,South,HomeCare,Completed,179.42
100234,2024-12-26,2024-12-26,Web,South,Supplies,Completed,73.55
100235,2025-06-09,2025-06-09,Web,Northeast,SeniorCare,Completed,17.72
100236,2025-04-29,2025-04-29,Web,South,SeniorCare,Completed,147.83
100237,2024-11-11,2024-11-11,Mobile,Midwest,SeniorCare,Completed,105.82
100238,2024-08-13,2024-08-13,Mobile,South,Hospice,Completed,38.53
100239,2025-04-03,2025-04-03,Partner,South,HomeCare,Completed,131.21
100240,2024-04-12,2024-04-12,Web,Northeast,SeniorCare,Completed,91.56
100241,2025-03-02,2025-03-02,Web,Midwest,HomeCare,Completed,49.78
100242,2024-03-10,2024-03-10,Web,South,SeniorCare,Completed,243.23
100243,2025-04-20,2025-04-20,Web,Midwest,Hospice,Completed,140.5
100244,2025-04-04,2025-04-04,Web,South,SeniorCare,Completed,68.87
100245,2024-03-02,2024-03-02,Mobile,Northeast,Supplies,Completed,42.35
100246,2025-07-07,2025-07-07,Web,Midwest,Hospice,Completed,102.47
100247,2024-10-30,2024-10-30,Web,South,Hospice,Completed,104.16
100248,2025-07-29,2025-07-29,Mobile,Midwest,HomeCare,Completed,128.12
100249,2024-01-31,2024-01-31,Mobile,Northeast,HomeCare,Completed,85.2
100250,2024-05-11,2024-05-20,Web,South,HomeCare,Completed,78.09
100251,2024-12-27,2024-12-27,Web,West,HomeCare,Cancelled,103.93
100252,2024-05-17,2024-05-17,Mobile,South,Hospice,Completed,90.61
100253,2024-08-29,2024-08-29,Mobile,West,Hospice,Completed,106.36
100254,2025-04-27,2025-04-27,Mobile,Midwest,Supplies,Returned,124.93
100255,2024-04-15,2024-04-18,Web,Northeast,HomeCare,Completed,75.37
100256,2025-05-11,2025-05-10,Mobile,South,HomeCare,Cancelled,87.94
100257,2024-03-16,2024-03-16,Partner,South,SeniorCare,Completed,58.38
100258,2024-05-08,2024-05-08,Web,Northeast,HomeCare,Completed,162.77
100259,2025-03-05,2025-03-05,Web,West,SeniorCare,Completed,36.75
100260,2025-08-03,2025-08-03,Partner,Northeast,SeniorCare,Completed,56.46
100261,2024-05-04,2024-05-04,Web,South,SeniorCare,Completed,122.2
100262,2024-08-07,2024-08-07,Mobile,South,HomeCare,Completed,86.88
100263,2025-11-07,2025-11-07,Partner,Midwest,HomeCare,Completed,145.64
100264,2025-12-24,2026-01-03,Web,Northeast,Supplies,Completed,55.46
100265,2025-02-28,2025-02-28,Mobile,South,Supplies,Completed,43.65
100266,2024-11-22,2024-11-22,Web,Midwest,SeniorCare,Completed,80.45
100267,2024-09-10,2024-09-10,Partner,Midwest,HomeCare,Completed,49.1
100268,2025-03-23,2025-03-23,Partner,West,Hospice,Completed,72.76
100269,2025-03-07,2025-03-07,Partner,Midwest,SeniorCare,Cancelled,134.97
100270,2024-08-03,2024-08-03,Web,South,HomeCare,Completed,82.3
100271,2024-01-17,2024-01-24,Mobile,Midwest,Supplies,Completed,60.17
100272,2024-04-20,2024-04-20,Partner,South,Supplies,Completed,65.02
100273,2025-12-01,2025-12-01,Mobile,Midwest,HomeCare,Completed,42.76
100274,2024-11-01,2024-11-01,Mobile,Northeast,HomeCare,Completed,42.97
100275,2024-12-18,2024-12-22,Web,Midwest,Hospice,Completed,133.07
100276,2024-12-07,2024-12-07,Partner,Midwest,Hospice,Completed,89.56
100277,2025-07-26,2025-07-26,Web,Midwest,Hospice,Completed,98.5
100278,2024-02-17,2024-02-17,Web,South,SeniorCare,Cancelled,116.33
100279,2024-03-01,2024-03-01,Partner,Northeast,Hospice,Completed,68.91
100280,2024-07-20,2024-07-20,Partner,Midwest,HomeCare,Completed,70.55
100281,2024-12-21,2024-12-21,Partner,Northeast,HomeCare,Completed,78.53
100282,2025-05-05,2025-05-05,Web,South,Hospice,Completed,130.11
100283,2024-12-24,2024-12-27,Web,Midwest,Hospice,Cancelled,91.87
100284,2024-11-18,2024-11-18,Web,Midwest,Supplies,Completed,44.52
100285,2025-11-16,2025-11-16,Web,South,HomeCare,Completed,218.45
100286,2024-04-27,2024-05-05,Partner,South,Supplies,Completed,62.32
100287,2025-02-21,2025-02-21,Mobile,South,HomeCare,Completed,129.95
100288,2025-01-31,2025-01-31,Web,West,SeniorCare,Completed,34.61
100289,2024-12-12,2024-12-12,Web,Midwest,HomeCare,Completed,49.19
100290,2025-08-13,2025-08-13,Web,South,Hospice,Completed,147.37
100291,2024-07-14,2024-07-20,Partner,South,Hospice,Returned,97.48
100292,2025-11-28,2025-11-28,Mobile,South,SeniorCare,Completed,70.5
100293,2024-08-30,2024-08-30,Web,South,HomeCare,Completed,58.24
100294,2025-02-02,2025-02-02,Web,Northeast,HomeCare,Cancelled,152.46
100295,2025-01-15,2025-01-15,Web,Northeast,Hospice,Completed,152.52
100296,2025-09-13,2025-09-13,Web,Northeast,SeniorCare,Completed,82.78
100297,2024-11-16,2024-11-16,Partner,None,HomeCare,Completed,105.92
100298,2024-07-27,2024-07-27,Mobile,South,HomeCare,Completed,80.42
100299,2024-01-16,2024-01-16,Web,Northeast,SeniorCare,Completed,60.76
100300,2024-09-22,2024-09-22,Mobile,South,Hospice,Completed,84.83
100301,2025-08-27,2025-08-27,Web,None,HomeCare,Completed,137.27
100302,2024-01-08,2024-01-08,Web,Northeast,HomeCare,Completed,76.9
100303,2025-10-17,2025-10-17,Mobile,South,SeniorCare,Completed,88.01
100304,2025-01-31,2025-01-31,Web,Midwest,Supplies,Completed,49.28
100305,2024-04-12,2024-04-12,Web,Northeast,SeniorCare,Completed,136.81
100306,2024-08-08,2024-08-08,Mobile,South,SeniorCare,Completed,61.79
100307,2025-02-09,2025-02-15,Partner,Midwest,SeniorCare,Completed,183.52
100308,2024-08-18,2024-08-18,Web,Midwest,Hospice,Completed,82.55
100309,2024-03-20,2024-03-20,Mobile,Midwest,Supplies,Completed,45.89
100310,2025-05-01,2025-05-01,Web,Northeast,HomeCare,Completed,255.05
100311,2025-05-06,2025-05-06,Mobile,Midwest,Supplies,Completed,35.84
100312,2024-03-27,2024-03-27,Web,West,HomeCare,Completed,91.93
100313,2024-07-24,2024-07-24,Mobile,West,SeniorCare,Completed,141.83
100314,2024-06-27,2024-06-27,Web,West,Supplies,Completed,28.24
100315,2025-04-27,2025-04-27,Partner,Midwest,Supplies,Returned,69.51
100316,2025-06-17,2025-06-17,Partner,South,Supplies,Completed,28.3
100317,2025-06-15,2025-06-15,Web,West,Supplies,Completed,62.22
100318,2025-11-17,2025-11-17,Mobile,Northeast,Hospice,Completed,304.31
100319,2025-07-15,2025-07-15,Web,South,Hospice,Completed,33.94
100320,2024-08-22,2024-08-22,Mobile,West,Hospice,Completed,105.88
100321,2024-03-19,2024-03-19,Web,Northeast,HomeCare,Completed,74.62
100322,2025-03-25,2025-03-25,Web,Northeast,Hospice,Completed,66.45
100323,2025-10-31,2025-10-31,Mobile,West,HomeCare,Completed,43.59
100324,2025-12-13,2025-12-13,Web,West,Supplies,Completed,105.83
100325,2024-06-17,2024-06-22,Mobile,South,SeniorCare,Completed,94.41
100326,2024-06-21,2024-06-21,Mobile,Midwest,HomeCare,Completed,36.98
100327,2024-01-28,2024-01-28,Web,Northeast,SeniorCare,Completed,53.41
100328,2024-04-13,2024-04-13,Web,Northeast,SeniorCare,Completed,65.0
100329,2025-02-09,2025-02-09,Mobile,Northeast,Supplies,Completed,27.85
100330,2025-02-03,2025-02-03,Mobile,South,HomeCare,Completed,97.87
100331,2024-09-28,2024-09-28,Web,Northeast,SeniorCare,Completed,97.16
100332,2024-08-14,2024-08-14,Web,South,HomeCare,Completed,105.66
100333,2025-08-29,2025-08-29,Mobile,West,Supplies,Completed,167.79
100334,2024-12-02,2024-12-02,Mobile,West,Supplies,Completed,38.16
100335,2025-08-13,2025-08-13,Mobile,South,HomeCare,Completed,73.94
100336,2025-12-05,2025-12-07,Web,Northeast,HomeCare,Completed,71.97
100337,2024-08-19,2024-08-19,Mobile,Northeast,HomeCare,Completed,143.61
100338,2024-05-28,2024-05-28,Mobile,South,Hospice,Completed,159.6
100339,2025-11-27,2025-11-27,Web,Midwest,HomeCare,Completed,53.22
100340,2025-04-09,2025-04-09,Web,Northeast,SeniorCare,Completed,176.16
100341,2024-07-31,2024-07-31,Web,None,Hospice,Completed,69.83
100342,2025-03-30,2025-03-30,Mobile,South,Hospice,Completed,168.52
100343,2025-01-11,2025-01-11,Web,West,SeniorCare,Completed,127.18
100344,2025-10-23,2025-10-23,Mobile,West,SeniorCare,Completed,104.35
100345,2024-07-06,2024-07-06,Mobile,West,HomeCare,Completed,79.45
100346,2025-12-25,2025-12-25,Web,West,SeniorCare,Completed,73.21
100347,2025-11-15,2025-11-24,Mobile,South,SeniorCare,Completed,108.79
100348,2024-05-12,2024-05-20,Mobile,West,HomeCare,Completed,121.87
100349,2024-04-30,2024-04-30,Web,West,HomeCare,Completed,133.56
100350,2025-01-24,2025-01-24,Mobile,Northeast,SeniorCare,Completed,121.97
100351,2024-02-02,2024-02-02,Mobile,Midwest,HomeCare,Completed,111.16
100352,2024-08-06,2024-08-06,Web,Midwest,HomeCare,Completed,189.89
100353,2024-11-14,2024-11-14,Mobile,South,Hospice,Completed,81.45
100354,2025-12-09,2025-12-09,Mobile,Northeast,Supplies,Cancelled,62.4
100355,2025-12-26,2025-12-26,Web,South,SeniorCare,Completed,64.69
100356,2024-04-20,2024-04-20,Partner,Northeast,SeniorCare,Completed,290.21
100357,2025-10-13,2025-10-13,Mobile,Northeast,HomeCare,Completed,137.27
100358,2024-03-07,2024-03-07,Mobile,Midwest,Supplies,Completed,101.39
100359,2025-07-01,2025-07-01,Web,Midwest,Hospice,Completed,137.45
100360,2025-09-10,2025-09-18,Web,Northeast,Supplies,Completed,59.39
100361,2025-10-13,2025-10-16,Web,South,SeniorCare,Completed,325.11
100362,2024-06-12,2024-06-12,Mobile,West,SeniorCare,Completed,157.05
